gene_id_simplified	gene_symbol
ENSG00000169100	SLC25A6
ENSG00000136868	SLC31A1
ENSG00000102100	SLC35A2
ENSG00000017483	SLC38A5
ENSG00000268104	SLC6A14
ENSG00000130821	SLC6A8
ENSG00000165349	SLC7A3
ENSG00000198689	SLC9A6
ENSG00000065923	SLC9A7
ENSG00000197818	SLC9A8
ENSG00000171790	SLFNL1
ENSG00000185985	SLITRK2
ENSG00000179542	SLITRK4
ENSG00000102038	SMARCA1
ENSG00000072501	SMC1A
ENSG00000077935	SMC1B
ENSG00000163206	SMCP
ENSG00000184785	SMIM10
ENSG00000178947	SMIM10L2A
ENSG00000196972	SMIM10L2B
ENSG00000095932	SMIM24
ENSG00000203870	SMIM9
ENSG00000112562	SMOC2
ENSG00000091482	SMPX
ENSG00000102172	SMS
ENSG00000147164	SNX12
ENSG00000165643	SOHLH1
ENSG00000140263	SORD
ENSG00000187808	SOWAHD
ENSG00000134595	SOX3
ENSG00000125398	SOX9
ENSG00000064199	SPA17
ENSG00000171489	SPACA5
ENSG00000171478	SPACA5B
ENSG00000077327	SPAG6
ENSG00000198021	SPANXA1
ENSG00000203926	SPANXA2
ENSG00000227234	SPANXB1
ENSG00000235604	SPANXB1
ENSG00000198573	SPANXC
ENSG00000196406	SPANXD
ENSG00000203923	SPANXN1
ENSG00000268988	SPANXN2
ENSG00000189252	SPANXN3
ENSG00000189326	SPANXN4
ENSG00000204363	SPANXN5
ENSG00000186451	SPATA12
ENSG00000163071	SPATA18
ENSG00000166118	SPATA19
ENSG00000006282	SPATA20
ENSG00000170469	SPATA24
ENSG00000173699	SPATA3
ENSG00000167523	SPATA33
ENSG00000150628	SPATA4
ENSG00000174015	SPERT
ENSG00000147059	SPIN2A
ENSG00000186787	SPIN2B
ENSG00000204271	SPIN3
ENSG00000186767	SPIN4
ENSG00000128040	SPINK2
ENSG00000168939	SPRY3
ENSG00000164299	SPZ1
ENSG00000184343	SRPK3
ENSG00000101955	SRPX
ENSG00000102359	SRPX2
ENSG00000184895	SRY
ENSG00000180879	SSR4
ENSG00000126752	SSX1
ENSG00000241476	SSX2
ENSG00000268447	SSX2B
ENSG00000165584	SSX3
ENSG00000268009	SSX4
ENSG00000269791	SSX4B
ENSG00000165583	SSX5
ENSG00000187754	SSX7
ENSG00000101972	STAG2
ENSG00000147465	STAR
ENSG00000130052	STARD8
ENSG00000167323	STIM1
ENSG00000134602	STK26
ENSG00000146857	STRA8
ENSG00000101846	STS
ENSG00000109193	SULT1E1
ENSG00000101945	SUV39H1
ENSG00000165124	SVEP1
ENSG00000169895	SYAP1
ENSG00000198765	SYCP1
ENSG00000196074	SYCP2
ENSG00000139351	SYCP3
ENSG00000008056	SYN1
ENSG00000102003	SYP
ENSG00000129990	SYT5
ENSG00000102362	SYTL4
ENSG00000147041	SYTL5
ENSG00000157625	TAB3
ENSG00000006128	TAC1
ENSG00000147133	TAF1
ENSG00000102387	TAF7L
ENSG00000187325	TAF9B
ENSG00000102125	TAZ
ENSG00000068354	TBC1D25
ENSG00000133138	TBC1D8B
ENSG00000101849	TBL1X
ENSG00000092377	TBL1Y
ENSG00000122145	TBX22
ENSG00000172465	TCEAL1
ENSG00000184905	TCEAL2
ENSG00000196507	TCEAL3
ENSG00000133142	TCEAL4
ENSG00000204065	TCEAL5
ENSG00000204071	TCEAL6
ENSG00000182916	TCEAL7
ENSG00000180964	TCEAL8
ENSG00000176896	TCEANC
ENSG00000124678	TCP11
ENSG00000215029	TCP11X2
ENSG00000167858	TEKT1
ENSG00000009694	TENM1
ENSG00000131126	TEX101
ENSG00000120498	TEX11
ENSG00000268629	TEX13A
ENSG00000170925	TEX13B
ENSG00000133863	TEX15
ENSG00000278057	TEX28
ENSG00000185264	TEX33
ENSG00000240021	TEX35
ENSG00000091513	TF
ENSG00000087510	TFAP2C
ENSG00000183434	TFDP3
ENSG00000068323	TFE3
ENSG00000153779	TGIF2LX
ENSG00000176679	TGIF2LY
ENSG00000186340	THBS2
ENSG00000125676	THOC2
ENSG00000126768	TIMM17B
ENSG00000126953	TIMM8A
ENSG00000102265	TIMP1
ENSG00000007350	TKTL1
ENSG00000196664	TLR7
ENSG00000101916	TLR8
ENSG00000188800	TMCO2
ENSG00000157600	TMEM164
ENSG00000164855	TMEM184A
ENSG00000269556	TMEM185A
ENSG00000177854	TMEM187
ENSG00000187600	TMEM247
ENSG00000125355	TMEM255A
ENSG00000221870	TMEM257
ENSG00000147003	TMEM27
ENSG00000179363	TMEM31
ENSG00000126950	TMEM35
ENSG00000147027	TMEM47
ENSG00000126106	TMEM53
ENSG00000151117	TMEM86A
ENSG00000006042	TMEM98
ENSG00000185973	TMLHE
ENSG00000158164	TMSB15A
ENSG00000158427	TMSB15B
ENSG00000205542	TMSB4X
ENSG00000154620	TMSB4Y
ENSG00000041982	TNC
ENSG00000125735	TNFSF14
ENSG00000000005	TNMD
ENSG00000129991	TNNI3
ENSG00000105048	TNNT1
ENSG00000118245	TNP1
ENSG00000178279	TNP2
ENSG00000078900	TP73
ENSG00000140416	TPM1
ENSG00000198467	TPM2
ENSG00000167460	TPM4
ENSG00000179636	TPPP2
ENSG00000196459	TRAPPC2
ENSG00000183479	TREX2
ENSG00000188917	TRMT2B
ENSG00000067445	TRO
ENSG00000072315	TRPC5
ENSG00000163467	TSACC
ENSG00000157514	TSC22D3
ENSG00000126467	TSKS
ENSG00000000003	TSPAN6
ENSG00000156298	TSPAN7
ENSG00000258992	TSPY1
ENSG00000236424	TSPY10
ENSG00000168757	TSPY2
ENSG00000228927	TSPY3
ENSG00000233803	TSPY4
ENSG00000229549	TSPY8
ENSG00000238074	TSPY9P
ENSG00000184205	TSPYL2
ENSG00000158526	TSR2
ENSG00000206203	TSSK2
ENSG00000162526	TSSK3
ENSG00000178093	TSSK6
ENSG00000104804	TULP2
ENSG00000086712	TXLNG
ENSG00000204193	TXNDC8
ENSG00000214897	U82695.5
ENSG00000130985	UBA1
ENSG00000077721	UBE2A
ENSG00000102178	UBL4A
ENSG00000188021	UBQLN2
ENSG00000125351	UPF3B
ENSG00000094841	UPRT
ENSG00000102226	USP11
ENSG00000134588	USP26
ENSG00000273820	USP27X
ENSG00000247746	USP51
ENSG00000124486	USP9X
ENSG00000114374	USP9Y
ENSG00000156697	UTP14A
ENSG00000183878	UTY
ENSG00000126756	UXT
ENSG00000124333	VAMP7
ENSG00000155959	VBP1
ENSG00000182583	VCX
ENSG00000177504	VCX2
ENSG00000169059	VCX3A
ENSG00000205642	VCX3B
ENSG00000129864	VCY
ENSG00000129862	VCY1B
ENSG00000102243	VGLL1
ENSG00000205221	VIT
ENSG00000160131	VMA21
ENSG00000101842	VSIG1
ENSG00000155659	VSIG4
ENSG00000015285	WAS
ENSG00000185222	WBP5
ENSG00000101940	WDR13
ENSG00000131725	WDR44
ENSG00000196998	WDR45
ENSG00000196363	WDR5
ENSG00000101443	WFDC2
ENSG00000196632	WNK3
ENSG00000134245	WNT2B
ENSG00000115596	WNT6
ENSG00000184937	WT1
ENSG00000047644	WWC3
ENSG00000204379	XAGE1A
ENSG00000204382	XAGE1B
ENSG00000183461	XAGE1C
ENSG00000204376	XAGE1D
ENSG00000204375	XAGE1E
ENSG00000155622	XAGE2
ENSG00000185751	XAGE2
ENSG00000171402	XAGE3
ENSG00000171405	XAGE5
ENSG00000143184	XCL1
ENSG00000143185	XCL2
ENSG00000124343	XG
ENSG00000101966	XIAP
ENSG00000047597	XK
ENSG00000182489	XKRX
ENSG00000122121	XPNPEP2
ENSG00000181704	YIPF6
ENSG00000230797	YY2
ENSG00000182223	ZAR1
ENSG00000214717	ZBED1
ENSG00000177485	ZBTB33
ENSG00000102053	ZC3H12B
ENSG00000126970	ZC4H2
ENSG00000174460	ZCCHC12
ENSG00000187969	ZCCHC13
ENSG00000187823	ZCCHC16
ENSG00000166707	ZCCHC18
ENSG00000179300	ZCCHC5
ENSG00000102383	ZDHHC15
ENSG00000188706	ZDHHC9
ENSG00000189420	ZFP92
ENSG00000005889	ZFX
ENSG00000067646	ZFY
ENSG00000156925	ZIC3
ENSG00000166432	ZMAT1
ENSG00000147130	ZMYM3
ENSG00000165724	ZMYND19
ENSG00000147117	ZNF157
ENSG00000147118	ZNF182
ENSG00000147394	ZNF185
ENSG00000063587	ZNF275
ENSG00000056277	ZNF280C
ENSG00000147124	ZNF41
ENSG00000173275	ZNF449
ENSG00000221994	ZNF630
ENSG00000175809	ZNF645
ENSG00000251192	ZNF674
ENSG00000185730	ZNF696
ENSG00000147180	ZNF711
ENSG00000186376	ZNF75D
ENSG00000197779	ZNF81
ENSG00000105428	ZNRF4
ENSG00000186075	ZPBP2
ENSG00000169249	ZRSR2
ENSG00000198205	ZXDA
ENSG00000198455	ZXDB
